Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Western Cape,4/16/2020,Oh Darling Standpoint,Reusable Cloth Facemasks,R         166.00,30,"R                            4,980.00",None
DPP Western Cape,4/16/2020,Oh Darling Standpoint,Reusable Cloth Facemasks,R         300.00,30,"R                            9,000.00",None
DPP Western Cape,4/29/2020,AK Manufacturing,Reusable Cloth Facemasks,R           10.00,800,"R                            8,000.00",None
DPP Western Cape,28-May-20,Oh Darling Standpoint,Hand Sanitizers,5 80.00,15,"R                            8,700.00",None
DPP Western Cape,18-May-20,Decontamination of offices,Decontamination,,,"R                          16,353.00",None
DPP Western Cape,9-Jun-20,Decontamination of offices,Decontamination,,,"R                          16,353.00",None
DPP Western Cape,29-Jun-20,Decontamination of offices,Decontamination,,,"R                          16,353.00",None
NPA Head Office,3/23/2020,The amount for services was R 49059.00 per decontamination.,GLOVES x 5 000 BOXES OF 100 - COVID-19,R           49.86,5000 X Boxes of 100,"R                       249,300.00",None
NPA Head Office,3/24/2020,TARA TECHNOLOGIES,CONTAINERS x 50 x 25LT,R         125.00,50,"R                            6,250.00",None
NPA Head Office,3/24/2020,VITAL LIFE MEDICAL DISTRIBUTORS,SANITIZER - DETERGENT x 2000,R           40.37,2,"R                          80,740.00",None
NPA Head Office,3/24/2020,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER x 5000 - 500ml,R           60.75,5,"R                       303,750.00",None
NPA Head Office,3/25/2020,SHANEAL DISTRIBUTORS,SANITIZER - 23 x 5LT and 4600 X 100ML,"R  177,100.00","23 X5LT
4600 X 100ML","R                       177,100.00",None
NPA Head Office,4/14/2020,ARJO HUNTLEIGH SOUTH AFRICA,SICK BEDS x 15,"R      1,565.30",15,"R                          23,479.50",None
NPA Head Office,4/20/2020,Imperial Health Sciences,PPE - FACE SHIELDS,R             9 .00,5,"R                          45,000.00",None
NPA Head Office,5/15/2020,T M C TRADING,NON-CONTACT INFRARED THERMOMETERS x 9,,,"R                          15,192.45",None
NPA Head Office,7/1/2020,Decontimination of offices,Decontamination,0,0,"R                         94,522.40",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Sanitiser Liquid 5Lt,R         545.10,10,"R                            5,451.00",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Latex gloves,"R      1,454.75",1,"R                            1,454.75",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Latex gloves,"R      1,454.75",1,"R                            1,454.75",None
