implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 NPA Head Office (HR),2020-05-19,EKHAYA INVESTMENTS,RE-USABLE FACE MASKS - GAUTENG - VGM,,,,62748.00,None
 NPA Head Office (HR),2020-05-25,SINGULARITY TRADING COMPANY,SANITIZERS x 709 - VGM,,,,201356.00,None
 OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Latex Gloves,3.50,24,24,84.00,None
 OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Surgical Spirit,17.95,4,4,71.80,None
 OWP Eastern Cape,2020-03-18,DIS-CHEM PHAMARCY,Wet Wipes,34.95,,2 packs,69.90,None
 OWP Eastern Cape,2020-03-19,DASH DISTRIBUTORS,Hand Saniters,370.00,,20 x5L,7400.00,None
 OWP Eastern Cape,2020-04-16,M F EMBROIDERY,Material Face Masks,22.00,62,62,1364.00,None
 OWP Eastern Cape,2020-04-29,M F EMBROIDERY,Material Face Masks,22.00,85,85,1870.00,None
 OWP Free State,2020-02-04,Dischem,EP004 Disposable Masks,50.00,60,60,2997.00,None
 OWP Free State,2020-04-29,MI Touto,Masks - Re-usable,20.00,35,35,700.00,None
 OWP Free State,2020-04-29,Ppppie Botha,Masks - Re-usable,20.00,26,26,520.00,None
 OWP Gauteng,2020-03-17,TNT Pest control,Masks,17.00,400,400,6800.00,None
 OWP Gauteng,2020-03-17,4M Chemicals,Hand Disinfectant 70% A,60.00,100,100,6000.00,None
 OWP Gauteng,2020-03-17,4M Chemicals,Gloves,150.00,20,20,3000.00,None
 OWP Gauteng,2020-03-17,4M Chemicals,Alcahol,,,,,None
 OWP Gauteng,2020-03-17,4M Chemicals,Antibacterial Surface,,,,,None
 OWP Gauteng,2020-03-17,4M Chemicals,cleaner 70% Alcohol,183.00,5,5,915.00,None
 OWP Head Office,2020-11-05,SHANEAL DISTRIBUTORS,INFRARED NON-CONTACT THERMOMETERS,,,,63000,None
 OWP Head Office,2020-09-06,ROYAL TREAT TRADING,RE-USABLE FACE MASKS x 2000,,,,45800.00,None
 OWP Head Office,2020-12-06,BLENDED OAKS,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,,,,1043.80,None
 OWP Head Office,2020-06-19,DJ MONTOYA TRADING AND PROJECTS,"MULTI SANITIZERS FOR AIR, HAND AND SURFACE",,,,37647.00,None
 OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Masks,775.00,10,10,7750.00,None
 OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Gloves - Medium,125.00,25,25,3125.00,None
 OWP Kwazulu Natal,2020-03-17,Mediquick Pharmacy,Gloves - Large,135.00,25,25,3375.00,None
